# z mu_obs mu_err
0.05895 17.7707 0.10045
0.05948 17.71775 0.12625
0.06119 17.9246 0.11905
0.06441 18.09975 0.1085
0.06455 17.78945 0.1136
0.06481 17.87655 0.1109
0.06559 17.91255 0.12675
0.06641 17.9881 0.1134
0.06845 18.31035 0.1248
0.06877 18.16815 0.11055
0.06888 18.1778 0.15105
0.0706 18.48435 0.29975
0.07063 18.05925 0.1229
0.07141 18.15745 0.1192
0.0718 18.0121 0.1254
0.07369 18.2355 0.1566
0.07515 17.8882 0.1248
0.07523 18.2988 0.10185
0.0755 18.378 0.11965
0.07877 18.7576 0.11205
0.07883 18.5397 0.12205
0.07976 18.337 0.10315
0.08141 18.511 0.10425
0.0822 18.52945 0.1223
0.08254 18.5179 0.1055
0.08282 18.7438 0.11605
0.08504 18.62285 0.1057
0.08543 18.608 0.10035
0.08784 18.6796 0.1066
0.08806 18.4809 0.11615
0.08848 18.64345 0.10605
0.0896 18.72405 0.11685
0.0906 18.75805 0.1103
0.0919 18.9547 0.1139
0.09227 18.8576 0.109
0.09391 18.94955 0.14945
0.09401 18.889 0.10285
0.0963 18.8215 0.14795
0.0994 19.1829 0.10965
0.10018 18.95705 0.11145
0.1004 19.0807 0.10935
0.1022 19.0531 0.1106
0.1023 19.15365 0.1077
0.10264 19.16175 0.1443
0.10288 19.16045 0.103
0.103 18.90405 0.12325
0.10337 19.10195 0.1007
0.10351 18.96075 0.10555
0.1056 19.1167 0.10015
0.10638 19.09035 0.10245
0.10683 19.2184 0.10455
0.1072 19.19495 0.1111
0.1075 19.24475 0.10865
0.10886 19.1721 0.10285
0.1098 19.29245 0.12085
0.11242 19.38095 0.1026
0.11364 19.1271 0.10675
0.11628 19.29475 0.10185
0.11635 19.38465 0.1036
0.11741 19.41925 0.10595
0.11771 19.35185 0.11365
0.11797 19.19345 0.0991
0.11845 19.44875 0.1339
0.1187 19.26765 0.1244
0.1194 19.33475 0.1245
0.11966 19.65185 0.142
0.11991 19.36835 0.1021
0.12042 19.52005 0.11295
0.1206 19.3688 0.1916
0.12164 19.58065 0.13445
0.1219 19.34125 0.09805
0.1221 19.37365 0.11495
0.12262 19.44025 0.1033
0.12303 19.3948 0.11665
0.12336 19.4198 0.10285
0.12376 19.4023 0.1022
0.1238 19.5741 0.1083
0.12455 19.4784 0.1006
0.12516 19.4684 0.10355
0.12608 19.36855 0.113
0.12622 19.58525 0.13485
0.12688 19.526 0.1097
0.12694 19.5429 0.11965
0.12715 19.59325 0.10365
0.12837 19.5616 0.132
0.12899 19.5083 0.1143
0.12903 19.58985 0.12795
0.12928 19.5471 0.1075
0.1294 19.61205 0.10875
0.13045 19.79635 0.12165
0.13243 19.9293 0.1333
0.1326 19.53775 0.0994
0.13353 19.59395 0.101
0.13514 19.9671 0.1135
0.1352 19.80745 0.1216
0.1361 19.76145 0.12305
0.13639 19.58645 0.1105
0.13687 19.7402 0.1138
0.13696 19.76485 0.11075
0.13729 20.12265 0.11415
0.13811 19.66285 0.10475
0.13818 19.70325 0.10245
0.13833 19.8495 0.1169
0.1384 19.7944 0.1038
0.13864 19.99935 0.13335
0.13868 19.76995 0.1308
0.1388 19.82205 0.1072
0.1396 19.7799 0.1129
0.1407 19.871 0.11635
0.1412 19.8422 0.13225
0.1431 19.79675 0.1047
0.1436 19.88005 0.10815
0.14387 19.81665 0.10485
0.14409 19.83575 0.113
0.14478 19.8106 0.13965
0.1453 20.2551 0.1724
0.14533 19.90865 0.1399
0.14581 19.6731 0.12755
0.1466 19.91105 0.11095
0.14703 19.83975 0.1218
0.14729 19.776 0.10335
0.1476 19.88745 0.11365
0.14792 19.8403 0.1023
0.14882 19.91815 0.1063
0.1496 20.15155 0.16675
0.1505 19.8557 0.11605
0.1506 19.9375 0.11
0.15186 19.7933 0.10325
0.1526 19.93715 0.11585
0.15271 20.08555 0.11355
0.15304 20.0024 0.10245
0.15317 19.8424 0.10465
0.15325 19.99965 0.1096
0.15339 20.1226 0.10495
0.15492 19.83105 0.1045
0.15509 20.0251 0.1063
0.15517 20.14265 0.11795
0.15596 19.98785 0.12595
0.15653 19.944 0.1104
0.1568 20.1239 0.12545
0.15689 20.02475 0.15485
0.15837 19.81685 0.12375
0.15899 19.99615 0.1245
0.1592 20.18505 0.1775
0.15935 19.83815 0.1054
0.1599 19.92285 0.11045
0.15999 20.07605 0.129
0.16035 19.9329 0.1156
0.1604 20.16235 0.167
0.16059 19.98615 0.10955
0.1612 20.07365 0.12015
0.1618 20.1359 0.1299
0.16284 20.2483 0.1303
0.16356 20.0237 0.11915
0.16431 20.03175 0.1083
0.16455 20.09405 0.10665
0.16477 20.0849 0.11585
0.16595 19.9345 0.12155
0.16817 20.0523 0.1219
0.1692 20.2554 0.1144
0.1696 20.46515 0.1317
0.17028 20.2489 0.107
0.17063 20.12375 0.14255
0.1712 20.2873 0.17315
0.1717 20.22 0.11585
0.1727 20.49025 0.1308
0.17315 20.15345 0.09925
0.1735 20.08825 0.1083
0.17357 20.28215 0.12665
0.17373 20.4812 0.1283
0.17383 20.3284 0.1373
0.174 20.3461 0.1115
0.17428 20.2369 0.11045
0.17483 20.5056 0.1317
0.17558 20.24765 0.1249
0.17625 20.47675 0.1273
0.17653 20.2397 0.106
0.17696 20.28545 0.129
0.17706 20.33625 0.12905
0.17768 20.0718 0.12115
0.1777 20.3552 0.11035
0.17789 20.20345 0.1224
0.17839 20.72835 0.1286
0.17851 20.37535 0.1134
0.1789 20.4025 0.1152
0.17915 20.2809 0.1225
0.1792 20.481 0.1699
0.1792 20.54675 0.14915
0.17958 20.30175 0.11325
0.1799 20.68245 0.14335
0.18037 20.13755 0.10565
0.1806 20.3864 0.1142
0.1806 20.34675 0.16425
0.18079 20.37965 0.13765
0.1808 20.2752 0.1117
0.1808 20.474 0.12575
0.1812 20.426 0.1593
0.18123 20.21145 0.10535
0.18203 20.3359 0.12625
0.1828 20.58185 0.1376
0.18322 20.2951 0.1284
0.18376 20.5074 0.1247
0.18388 20.55265 0.14145
0.18443 20.55175 0.1118
0.18468 20.3647 0.13065
0.18481 20.38765 0.1082
0.185 20.37525 0.1056
0.18507 20.31575 0.1235
0.18516 20.4558 0.10405
0.1852 20.5371 0.1169
0.18563 20.33785 0.1283
0.18581 20.48365 0.1298
0.18651 20.52515 0.11385
0.18891 20.2039 0.1187
0.18914 20.88525 0.12885
0.18931 20.4864 0.13035
0.1896 20.50025 0.1605
0.18979 20.46505 0.1185
0.19009 20.6486 0.11825
0.19025 20.4061 0.1552
0.19029 20.6928 0.11925
0.1912 20.055 0.15515
0.19176 20.5315 0.1404
0.19392 20.5958 0.1361
0.19422 20.61715 0.12925
0.1958 20.5286 0.1151
0.1959 20.50135 0.109
0.19611 20.54825 0.11935
0.19654 20.70795 0.1369
0.19671 20.7379 0.13845
0.19718 20.5818 0.1167
0.19726 20.4352 0.1122
0.19801 20.49105 0.129
0.1985 20.6442 0.1223
0.19862 20.6407 0.1317
0.19867 20.61015 0.13895
0.1994 20.3968 0.14145
0.1996 20.61175 0.15295
0.1998 20.66375 0.13595
0.2006 20.5274 0.21145
0.2006 20.72485 0.1607
0.20215 20.38595 0.11475
0.20267 20.60265 0.13765
0.20308 20.7349 0.1164
0.20313 20.64165 0.1209
0.20318 20.64385 0.12035
0.20323 20.7001 0.1382
0.20335 20.5734 0.12555
0.20368 20.6509 0.11955
0.20453 20.66435 0.12435
0.2049 20.5539 0.15765
0.20515 20.934 0.1568
0.20548 20.5658 0.12095
0.20557 20.73155 0.1351
0.20735 21.03995 0.18575
0.20847 20.65465 0.12075
0.2085 20.59295 0.11275
0.20852 20.70195 0.1319
0.2088 20.859 0.16115
0.21005 20.90475 0.1584
0.2102 20.64495 0.10525
0.2102 20.9208 0.1231
0.21054 20.6402 0.1335
0.2106 20.73865 0.1623
0.21075 21.0136 0.15075
0.21082 20.57655 0.1203
0.21099 20.727 0.12695
0.2116 20.68915 0.12295
0.21163 20.6247 0.1276
0.21179 21.14485 0.1818
0.21226 20.80065 0.1303
0.21323 20.67635 0.1429
0.21338 20.73185 0.12325
0.21353 20.78295 0.1364
0.2145 20.73405 0.17345
0.21457 20.8217 0.1308
0.21513 21.20185 0.1483
0.2166 20.59575 0.11555
0.21674 20.8123 0.13625
0.21728 20.89395 0.15665
0.21757 20.7809 0.13945
0.21835 20.9318 0.14225
0.21865 20.76195 0.1415
0.21885 20.976 0.1685
0.21887 20.87005 0.13435
0.21935 20.8854 0.1261
0.21938 20.8469 0.1023
0.21955 20.6719 0.1534
0.2196 20.83145 0.10825
0.21975 21.00055 0.1346
0.22068 20.81795 0.15445
0.2212 20.7853 0.1197
0.2212 20.82175 0.14915
0.22256 20.9356 0.1392
0.22286 21.0804 0.1546
0.22334 20.93075 0.1281
0.2236 20.75105 0.12225
0.22452 21.16495 0.15345
0.2246 20.6681 0.15385
0.2253 20.8629 0.1228
0.22534 20.861 0.12955
0.2255 20.723 0.12425
0.22669 20.8771 0.141
0.22786 20.83435 0.15045
0.2288 20.96525 0.12895
0.22916 20.99445 0.14355
0.2296 20.95825 0.1411
0.22967 20.8794 0.1271
0.2305 21.0138 0.14645
0.2307 21.03315 0.15375
0.2307 20.74845 0.15255
0.2318 20.92185 0.1499
0.2335 21.21045 0.1599
0.2338 20.92065 0.1527
0.23381 20.88475 0.1537
0.2348 20.8644 0.19515
0.23542 20.9929 0.1458
0.2363 21.1547 0.12315
0.23652 21.2481 0.14335
0.2367 20.87655 0.14325
0.2368 21.0224 0.1241
0.23684 21.01435 0.146
0.23775 21.0147 0.1316
0.2388 21.19555 0.2471
0.2396 20.71895 0.1478
0.24 21.0934 0.1643
0.2406 21.13115 0.11795
0.2411 21.09055 0.1118
0.2416 20.85675 0.13015
0.24185 20.98075 0.15175
0.24206 21.3452 0.1569
0.2426 21.3408 0.1213
0.24267 21.18455 0.15195
0.24315 21.02795 0.1175
0.2434 21.24885 0.15475
0.24436 20.96025 0.1449
0.24448 20.86815 0.1298
0.2448 21.05305 0.1237
0.2454 20.88445 0.13085
0.2454 21.2589 0.1441
0.24552 21.3752 0.1882
0.24555 20.7198 0.14705
0.24558 21.1159 0.14105
0.2457 21.1466 0.1219
0.24603 21.128 0.1225
0.24637 21.1569 0.13055
0.24639 21.16055 0.10805
0.24643 21.0223 0.14645
0.24835 20.98175 0.13435
0.24852 21.09655 0.1326
0.24857 21.1261 0.1388
0.2488 21.19025 0.14705
0.2488 21.1327 0.1596
0.24883 21.2028 0.13995
0.2492 21.02715 0.11585
0.24961 21.38165 0.1409
0.24973 21.1676 0.1247
0.24973 21.0769 0.14445
0.25 21.3768 0.1625
0.2501 21.1135 0.14315
0.25029 21.20115 0.13305
0.25037 21.2982 0.13225
0.2504 21.1763 0.1114
0.2504 21.0268 0.13165
0.25104 21.4064 0.1659
0.25174 21.209 0.1266
0.25191 21.2338 0.1462
0.25249 21.1678 0.16095
0.2528 21.20755 0.11325
0.2534 21.09145 0.11245
0.25609 21.3344 0.1818
0.25625 21.13985 0.14805
0.25655 21.2564 0.16145
0.25672 21.2758 0.1749
0.25721 21.34695 0.16715
0.25722 21.2741 0.1446
0.2576 21.37115 0.15
0.258 21.2775 0.14285
0.2588 21.13905 0.14085
0.2604 21.22765 0.12265
0.2607 21.3572 0.14225
0.2607 21.31275 0.1521
0.26129 21.2036 0.13865
0.26162 21.4559 0.17885
0.26166 21.1668 0.15835
0.2622 21.15835 0.1082
0.2631 21.391 0.1313
0.26338 21.15515 0.1079
0.26349 21.3576 0.14295
0.26357 21.035 0.1514
0.2637 21.2319 0.12955
0.26405 21.2679 0.15695
0.2641 21.064 0.1418
0.26451 21.45355 0.1665
0.2647 21.2449 0.1389
0.26576 21.0609 0.1301
0.26687 21.33225 0.14765
0.268 21.22475 0.16715
0.26821 21.39935 0.16265
0.26838 21.24725 0.1051
0.26856 21.4883 0.15275
0.2688 21.34225 0.14435
0.26891 21.1762 0.0993
0.27 21.36745 0.13725
0.2701 21.2859 0.12695
0.2707 21.22425 0.12
0.2708 21.2356 0.1242
0.27091 21.3419 0.169
0.2712 21.30945 0.10785
0.2734 21.30625 0.14505
0.2748 21.3734 0.1525
0.2749 21.2869 0.11615
0.2752 21.50715 0.1382
0.27544 21.37075 0.15505
0.27573 21.4485 0.153
0.27656 21.62545 0.19055
0.27749 21.8807 0.2055
0.27822 21.3866 0.13915
0.27923 21.50115 0.13265
0.2797 21.2969 0.11365
0.2798 21.2773 0.1398
0.2804 21.3787 0.11055
0.2824 21.5746 0.1073
0.28332 21.4441 0.13595
0.28391 21.40915 0.1028
0.2842 21.3163 0.1146
0.28434 21.474 0.15145
0.28436 21.2982 0.13635
0.2854 21.2265 0.12315
0.28543 21.60225 0.15435
0.2856 21.43725 0.1358
0.2858 21.46645 0.1395
0.28655 21.42305 0.15585
0.28662 21.6827 0.1504
0.28742 21.45405 0.14295
0.28746 21.2668 0.1491
0.2888 21.4826 0.1256
0.2889 21.5295 0.1639
0.2896 21.715 0.1649
0.2902 21.4412 0.13835
0.29021 21.3714 0.15315
0.2907 21.30595 0.15955
0.29114 21.236 0.14645
0.29135 21.51945 0.1501
0.2916 21.47215 0.12535
0.2921 21.17535 0.1226
0.2927 21.54425 0.1708
0.2928 21.4687 0.1649
0.2928 21.4896 0.1351
0.29353 21.57975 0.1437
0.2956 21.7291 0.123
0.29567 21.7708 0.1925
0.29683 21.4449 0.1446
0.2988 21.39335 0.16425
0.2988 21.99485 0.16045
0.29888 21.66705 0.1633
0.29936 21.51975 0.1301
0.2996 21.70345 0.1614
0.3001 21.71085 0.11935
0.30021 21.62535 0.16525
0.30041 21.4204 0.15885
0.3006 21.91835 0.1704
0.3012 21.5859 0.13495
0.3018 21.81235 0.1445
0.30191 21.64245 0.0939
0.3026 21.6135 0.15825
0.3032 21.66825 0.11865
0.30354 21.872 0.13765
0.30394 21.49625 0.135
0.3051 21.64295 0.1129
0.3055 21.68485 0.12015
0.3056 21.6995 0.13305
0.30569 21.3803 0.19765
0.30632 21.77705 0.16135
0.3065 21.88165 0.1627
0.3068 21.6875 0.1493
0.308 21.95175 0.1182
0.30915 21.83605 0.15525
0.3092 21.58775 0.1462
0.30929 21.72385 0.1693
0.30938 21.8114 0.19685
0.3106 21.81735 0.13845
0.31065 21.45975 0.15795
0.3112 21.7417 0.10825
0.31288 21.63085 0.14295
0.31376 21.8225 0.14945
0.31468 21.3618 0.137
0.3148 21.9041 0.12485
0.31494 21.8201 0.1572
0.3156 21.9342 0.1522
0.31582 21.7168 0.15355
0.318 21.8387 0.1521
0.3185 21.8116 0.12465
0.3188 22.0816 0.21085
0.3192 21.66595 0.15665
0.3192 21.9169 0.137
0.32045 21.6956 0.1358
0.3207 22.0192 0.15495
0.3212 21.71485 0.1245
0.3218 21.54775 0.14025
0.32416 21.79365 0.10225
0.3253 21.96765 0.14105
0.3254 21.91925 0.1384
0.32569 21.9051 0.1809
0.3264 21.6733 0.1464
0.32793 21.80515 0.13855
0.3283 21.97245 0.18155
0.3288 21.6655 0.17245
0.3288 22.1329 0.16575
0.32931 22.21015 0.20955
0.3297 21.9869 0.11895
0.32984 21.65335 0.14295
0.3302 21.9984 0.1153
0.33051 21.9321 0.1589
0.3306 21.98705 0.15615
0.3306 21.7726 0.15595
0.33103 21.82885 0.1481
0.3312 21.7829 0.10685
0.3312 21.7689 0.1401
0.3312 21.831 0.11675
0.33136 22.03 0.19055
0.3316 21.7581 0.12005
0.3327 22.0508 0.14375
0.33439 21.9349 0.1592
0.3347 21.74575 0.1129
0.3374 21.9137 0.10655
0.3374 21.74045 0.14605
0.3376 21.8791 0.16625
0.3379 21.91315 0.151
0.3386 21.88335 0.13905
0.3388 21.7897 0.1618
0.34039 21.9463 0.10555
0.3412 21.88605 0.16925
0.3412 21.88785 0.1485
0.3456 21.9593 0.1626
0.34621 22.11525 0.111
0.347 21.7912 0.14045
0.3473 22.23255 0.2533
0.349 22.1162 0.13315
0.349 21.98165 0.1223
0.3491 22.02925 0.13805
0.34916 22.14445 0.11065
0.34916 21.74 0.12
0.3492 21.8575 0.11575
0.3503 21.9623 0.10725
0.3509 22.00245 0.1283
0.35116 22.2272 0.1136
0.3512 22.05965 0.1158
0.35346 21.81675 0.1515
0.3536 22.1458 0.14555
0.35486 22.23665 0.113
0.35568 22.05915 0.12645
0.35816 21.95965 0.1186
0.35819 21.9694 0.11425
0.359 22.19585 0.1342
0.36 21.92755 0.1335
0.36 21.8702 0.1604
0.3606 22.1621 0.14215
0.3618 21.9082 0.2036
0.36193 22.1744 0.1645
0.3652 22.2065 0.1423
0.3666 21.88675 0.1841
0.3669 22.0067 0.1243
0.3676 21.9904 0.12345
0.3682 22.24455 0.1019
0.36952 22.26255 0.14325
0.36976 22.04745 0.1558
0.3701 22.10035 0.1358
0.37016 22.1401 0.1211
0.37039 22.04575 0.11295
0.3704 21.7944 0.11375
0.37046 22.46065 0.1636
0.37091 22.15255 0.1043
0.3712 22.13805 0.26375
0.3712 22.12745 0.10645
0.37129 22.28785 0.1245
0.37191 22.20135 0.10745
0.37391 22.11185 0.1039
0.37425 22.3047 0.0854
0.3782 22.21555 0.1463
0.37986 22.13745 0.1395
0.3802 22.18215 0.1306
0.3804 22.1535 0.1307
0.38048 22.03255 0.1506
0.3806 22.2063 0.1382
0.3812 22.52675 0.14085
0.3815 22.31495 0.143
0.3826 22.18595 0.1824
0.38492 22.40575 0.14945
0.3857 22.28245 0.126
0.3876 22.3891 0.15885
0.3878 22.2944 0.18525
0.3892 22.11805 0.14095
0.3922 22.18855 0.1588
0.40091 22.2601 0.1151
0.40127 22.30585 0.1602
0.40128 22.165 0.1348
0.4019 22.2536 0.149
0.40439 22.44625 0.1075
0.4045 22.12805 0.15365
0.40591 22.564 0.11045
0.4096 22.48095 0.19045
0.4098 22.4668 0.20545
0.40991 22.451 0.10895
0.4114 22.6089 0.1289
0.4118 22.5817 0.15385
0.41616 22.5154 0.11755
0.41816 22.38625 0.1152
0.4194 22.59095 0.12095
0.4198 22.4583 0.14905
0.4198 22.16135 0.152
0.4206 22.47585 0.16245
0.4208 22.49015 0.2331
0.42291 22.35675 0.1192
0.4231 22.37855 0.1425
0.4235 22.599 0.2655
0.4267 22.6189 0.15295
0.4269 22.5594 0.1627
0.4276 23.03515 0.17065
0.42816 22.751 0.1294
0.4292 22.4792 0.1471
0.4294 22.75515 0.1527
0.4305 22.5444 0.12545
0.43521 22.5623 0.1145
0.43591 22.36675 0.109
0.4365 22.84545 0.14185
0.4391 22.56615 0.132
0.4392 22.46285 0.19185
0.4399 22.85455 0.16925
0.4404 22.4238 0.13695
0.44238 22.67285 0.1137
0.44316 22.57415 0.1349
0.4474 22.59905 0.1524
0.44939 22.78895 0.14135
0.4504 22.4503 0.1316
0.4507 22.6586 0.15475
0.45117 22.36265 0.1377
0.4512 22.72345 0.12465
0.45138 22.4159 0.12515
0.4604 22.8011 0.14725
0.4607 22.75035 0.16435
0.46109 22.62945 0.13775
0.46138 22.76265 0.11115
0.4661 22.7822 0.11645
0.46691 23.21635 0.1587
0.46891 22.73255 0.11785
0.47039 22.804 0.1221
0.4704 22.65205 0.12925
0.47091 23.1005 0.141
0.4712 22.70965 0.15
0.47516 22.6952 0.109
0.4774 22.9261 0.1649
0.4796 22.6131 0.1463
0.48016 22.74835 0.1138
0.48038 22.7752 0.1151
0.4804 22.68865 0.17225
0.4812 23.0166 0.15415
0.4892 22.8653 0.1136
0.4952 22.8802 0.11765
0.49791 22.9275 0.13225
0.50016 23.0505 0.13595
0.5006 22.9717 0.1963
0.5025 22.81425 0.2082
0.5027 22.89585 0.20855
0.50349 22.93445 0.12605
0.5078 22.9937 0.1404
0.50791 22.9705 0.1253
0.5088 22.7793 0.14135
0.51 22.84675 0.1182
0.5106 22.8206 0.17305
0.51116 23.11305 0.1165
0.51416 23.18845 0.1355
0.5142 23.12745 0.1329
0.51491 22.98745 0.11725
0.51539 23.02365 0.1762
0.5192 22.9578 0.1518
0.5194 23.03865 0.109
0.5196 22.97595 0.19605
0.52216 23.15915 0.14165
0.5283 22.8422 0.14315
0.53216 23.059 0.11385
0.53316 22.9345 0.1665
0.53491 22.9223 0.1289
0.53516 22.98355 0.1266
0.53591 23.06945 0.11085
0.545 23.34415 0.1462
0.54891 22.8926 0.1438
0.5501 23.1391 0.14355
0.55091 23.16815 0.1249
0.55239 22.98515 0.13425
0.55316 23.2838 0.1242
0.55819 23.2494 0.1349
0.5592 23.6061 0.15165
0.5592 23.1648 0.1335
0.5632 23.2428 0.11755
0.5652 23.2891 0.13595
0.57516 23.38495 0.13845
0.5761 23.2359 0.14515
0.57639 23.2437 0.1229
0.5779 23.2802 0.1624
0.57891 23.2373 0.13895
0.57921 23.22495 0.12065
0.57938 23.1779 0.1197
0.58038 23.36785 0.1608
0.58119 23.52355 0.1372
0.5834 23.34385 0.1258
0.58392 23.6081 0.12955
0.58421 23.46355 0.14025
0.58421 23.2686 0.09915
0.58621 23.5694 0.1417
0.58791 23.44375 0.14055
0.5892 23.30085 0.13005
0.59091 23.3354 0.1666
0.59116 23.2429 0.12625
0.60038 23.4022 0.15455
0.60392 23.58805 0.1429
0.60891 23.3767 0.1266
0.60916 23.5447 0.14865
0.6104 23.47615 0.1329
0.61191 23.7392 0.1593
0.6162 23.56625 0.1433
0.6192 23.4834 0.1156
0.62039 23.5114 0.1131
0.62116 23.4108 0.1628
0.62591 23.46015 0.1303
0.62791 23.4134 0.138
0.6304 23.3169 0.11795
0.63116 23.1617 0.17705
0.6312 23.4092 0.1432
0.63291 23.66065 0.20445
0.63821 23.37 0.2329
0.63892 23.49005 0.184
0.64116 23.62155 0.1659
0.64339 23.60755 0.1943
0.64339 23.6045 0.2013
0.64739 23.6259 0.1613
0.64839 23.53665 0.159
0.66259 23.74875 0.17955
0.66438 23.6337 0.1611
0.67039 23.78495 0.1775
0.6782 24.0377 0.2056
0.68116 23.59755 0.1484
0.68339 23.9441 0.2905
0.68591 23.844 0.2326
0.68921 23.6132 0.1518
0.69038 23.7527 0.18375
0.69391 23.79645 0.24445
0.69791 23.78265 0.16195
0.69892 23.7924 0.2171
0.69916 23.95255 0.2153
0.69992 23.88895 0.1728
0.69992 23.77905 0.15635
0.70116 23.7115 0.26255
0.70116 23.8387 0.16475
0.7012 23.7492 0.1738
0.70191 23.90875 0.1805
0.71538 23.84395 0.19425
0.71839 23.68915 0.15095
0.7202 23.82525 0.2057
0.72039 23.87645 0.2029
0.72091 24.0226 0.19335
0.72639 23.90005 0.1628
0.72739 23.8687 0.19785
0.73091 23.7684 0.19115
0.73316 24.04855 0.24055
0.73416 24.09175 0.17825
0.7342 23.8481 0.15575
